"Origin","lon","lat"
"2611",148.7831534,-35.4477412
"2600",149.1099161,-35.3075699
"2324",151.9111422,-32.6400424
"4075",152.9823847,-27.5443032
"2614",149.0525253,-35.2516136
"2615",149.0238401,-35.2087136
"5045",138.5162223,-34.9765911
"2902",133.775136,-25.274398
"4225",153.5127518,-28.164389
"2618",149.0353134,-35.1423355
"2617",149.092696,-35.228161
"2913",149.1099161,-35.1783044
"2602",149.1328799,-35.2544049
"4814",146.7552341,-19.2878252
"2906",149.0984358,-35.463155
"2905",149.1099161,-35.4366428
"2904",149.0984358,-35.4135536
"2900",149.0668705,-35.4170279
"2607",149.0984358,-35.3639236
"2603",149.1328799,-35.3239832
"2903",149.0898262,-35.3987152
"2606",149.0898262,-35.3490795
"2605",149.0898262,-35.3341832
"2612",149.1414924,-35.2792021
"2604",149.1529768,-35.3321319
"2619",149.2017971,-35.3831348
"2620",149.0123679,-35.631888
"2621",149.4490642,-35.4176011
"2601",149.1213974,-35.2809942
"2444",152.8499952,-31.392698
"2630",149.1960526,-36.3150116
"2066",151.1694511,-33.8126017
"2121",151.0791612,-33.7716764
"2112",151.1111936,-33.807991
"2119",151.0646032,-33.7551665
"2118",151.0413133,-33.7799114
"2114",151.0849848,-33.8089747
"2122",151.0966326,-33.7863691
"2113",151.134494,-33.7934648
"2021",133.775136,-25.274398
"2212",151.0151163,-33.9495044
"2076",151.1228434,-33.7085861
"2218",151.1199309,-33.9712426
"2207",151.1228434,-33.9541086
"2222",151.0849848,-33.9623045
"2220",151.0995447,-33.9583688
"2223",151.0762495,-33.9830462
"2205",151.1490585,-33.9378099
"2216",151.1490585,-33.9531396
"2210",151.0529578,-33.9566557
"2000",133.775136,-25.274398
"2049",151.1548847,-33.8932918
"2038",151.1723645,-33.8824062
"2044",151.1665377,-33.921824
"2204",151.1548847,-33.9086291
"3356",143.8183092,-37.5881949
"2132",151.114106,-33.8828873
"2048",151.165081,-33.8920561
"2037",151.1840188,-33.8802599
"2040",151.1548847,-33.8779521
"2361",151.1869325,-29.2477204
"2203",151.1374068,-33.9041707
"2131",151.125756,-33.8909735
"2034",151.2539627,-33.9236193
"2078",133.775136,-25.274398
"2130",151.1359504,-33.8922971
"2024",133.775136,-25.274398
"2030",151.2772841,-33.8579067
"2026",151.2714535,-33.8922511
"2022",151.2495903,-33.8956547
