postcode,year,disadvantage,econ_resources,educ_occupation
5010,1998,657.8190307617188,790.040283203125,781.9666259765618
2559,1998,658.9935302734375,808.5367065429673,813.6743896484375
2017,1998,719.167333984375,814.4758911132813,945.2356201171879
5113,1998,770.8290893554686,856.2183471679691,800.1467895507813
2163,1998,779.2221435546871,865.7247802734382,875.3710571289062
821,1998,783.4543334960945,856.2008666992188,924.4429077148438
822,1998,783.4543334960945,856.2008666992188,924.4429077148438
2166,1998,790.9496459960938,905.99267578125,863.8689697265627
7019,1998,801.2433959960936,868.184326171875,847.0753784179688
7016,1998,808.4286743164066,876.8285522460938,803.0922485351562
3047,1998,814.2394165039059,900.5549194335945,836.7861816406251
5084,1998,816.8959472656252,863.767956542968,890.7289794921875
4114,1998,826.2749267578129,892.8137084960936,843.7251831054687
7030,1998,828.8805419921876,883.2492065429688,833.5204711914063
5017,1998,830.2482421874993,871.2177856445305,857.3774169921871
872,1998,832.8994018554688,856.4669067382783,946.8290405273438
5013,1998,832.9067871093751,893.1563964843754,866.8345214843748
2506,1998,834.789794921875,896.4212158203127,855.5963745117188
2502,1998,835.6681274414059,910.6595092773441,855.3896484375
3214,1998,837.6599487304684,906.4850463867188,835.5724853515621
3171,1998,838.5750000000007,922.4267211914066,868.3700561523438
5164,1998,840.77978515625,876.805041503907,846.2641479492186
7305,1998,843.8680664062504,884.4037109374985,810.1602539062515
2770,1998,844.9840332031254,925.9043701171877,874.2364013671877
4497,1998,846.4358154296879,884.4254150390625,926.1613891601564
4674,1998,847.1937988281243,853.9051879882809,872.1491821289064
5112,1998,848.6332153320309,902.7369018554688,863.0517944335937
3177,1998,850.0912963867195,911.903186035157,845.0447875976561
2505,1998,851.5697631835938,914.6083740234371,873.9199707031248
2564,1998,852.2985595703126,925.5659545898434,896.3481567382812
5734,1998,853.4468261718721,866.9483154296868,933.250268554686
2177,1998,861.2038696289055,976.0288208007813,910.701904296875
2341,1998,862.12783203125,888.5886474609379,844.1454345703123
4077,1998,862.1954833984382,924.8731079101563,893.2565307617188
6061,1998,864.1974853515626,908.3459594726564,883.8136230468754
2848,1998,868.2996337890627,900.6659179687485,870.0575439453123
4383,1998,868.340576171875,890.633190917968,806.0540161132813
3020,1998,869.6170654296875,932.5717407226566,881.5834838867188
5168,1998,872.0782104492191,902.9439453125001,873.9234497070313
2297,1998,872.8381103515621,907.5783569335945,943.391467285157
7248,1998,875.0886840820313,888.8230834960941,900.2713378906251
3081,1998,876.7318969726566,906.0539916992184,941.9727783203125
3048,1998,876.775988769532,945.280737304689,863.9385498046877
3031,1998,877.90380859375,927.657690429689,1033.792858886718
7117,1998,879.149792480468,939.6695922851577,843.155627441407
3061,1998,880.1084960937515,936.9834106445305,869.1195800781252
2326,1998,881.2314086914062,929.7200927734375,847.7855712890626
4076,1998,881.359399414061,944.7115478515625,892.3685424804687
2168,1998,882.3786376953121,969.7152709960938,899.1547485351562
6429,1998,884.6613159179688,951.1960815429688,878.1737670898438
4110,1998,885.1466796875002,927.3945556640629,878.1014282226563
3025,1998,886.2531982421874,942.4309570312507,887.16943359375
3200,1998,887.3142578125007,939.7908081054684,869.7861328125
4804,1998,890.340844726561,914.1212890624993,853.6977661132805
6165,1998,891.7914672851566,952.5594116210923,861.8417480468752
6167,1998,891.7914672851566,952.5594116210923,861.8417480468752
5108,1998,892.1435913085938,939.4240844726555,866.37841796875
5253,1998,892.5275146484373,909.4808349609375,876.5419677734375
4676,1998,892.54638671875,882.7472167968735,880.1512207031251
5260,1998,893.6099121093757,891.3837768554695,847.4175170898438
881,1998,894.7910644531257,946.2327026367202,959.1525268554688
2195,1998,895.137097167968,911.3169067382805,935.1216796875001
5107,1998,895.1421264648438,936.9513549804688,874.3841308593751
3021,1998,895.4296752929695,956.3554321289048,886.8745849609377
4131,1998,895.5082397460938,941.9563720703127,901.9779052734375
7027,1998,895.6926025390626,846.9531982421868,900.9090087890627
5015,1998,895.7340454101577,914.5975219726561,919.6942871093743
2304,1998,896.8263427734373,910.384765625,924.3752929687498
4508,1998,897.0715576171879,936.5115722656265,870.8346191406254
2415,1998,897.3731933593735,864.7028076171882,824.5455932617188
3940,1998,897.5702392578132,892.1029174804687,881.3275146484375
4490,1998,898.5897460937504,888.3777709960941,923.814697265625
5085,1998,898.8048339843735,907.5487548828123,927.5058227539066
2144,1998,899.7107788085923,933.9281860351566,937.6707275390626
2528,1998,900.0820922851563,946.2091674804688,889.6124267578125
4816,1998,900.2804931640621,919.2425659179689,897.599853515625
4375,1998,901.1201578776054,943.1200683593743,871.8471557617186
3060,1998,901.1834228515627,939.2952392578118,896.2179199218749
5110,1998,902.3120971679673,958.5503051757805,858.5922363281243
6102,1998,902.5688720703129,893.526586914064,990.2898681640618
6106,1998,902.5688720703129,893.526586914064,990.2898681640618
6642,1998,904.247045898439,947.4347656249993,944.7391113281246
5540,1998,904.3279541015618,908.5395874023434,892.1191528320312
4132,1998,904.9980957031257,959.3058227539059,863.5943847656254
5550,1998,905.5202880859379,905.7232177734368,864.4030639648445
3074,1998,905.5756591796871,960.9967041015625,878.9289672851564
4468,1998,906.7959838867191,918.602648925782,869.7699462890626
3915,1998,907.1120361328125,939.2009399414064,890.0916625976563
3175,1998,907.3973632812504,944.6806640625,909.2525268554687
2295,1998,908.2637329101563,939.4489868164062,930.8903930664064
6560,1998,908.2996215820313,940.4896728515596,885.6970581054687
4227,1998,909.6248413085937,922.3728881835937,927.7494506835938
2194,1998,909.8006958007827,929.2893432617184,953.7926513671873
2327,1998,910.5921875000004,942.5641113281235,868.9488037109377
3174,1998,910.6109619140625,945.7875122070309,907.0463256835938
3075,1998,910.9557739257816,960.956921386718,883.9914794921879
2440,1998,911.0552124023434,904.911511230468,921.4045898437498
7331,1998,911.262805175782,900.414196777343,898.4290039062501
5008,1998,912.5912109375004,916.0987182617187,950.7213989257813
5014,1998,914.1467041015621,913.3526000976563,923.6377197265625
5700,1998,914.2060546875,909.2410034179684,936.9844238281248
5023,1998,914.599609375,923.5257934570309,919.6363647460937
2142,1998,915.8000854492184,941.0671020507816,957.3775634765625
7120,1998,915.8543945312504,875.4691162109375,873.5935180664064
5165,1998,915.9275756835941,930.4889648437493,900.7587768554686
3073,1998,916.8215087890621,946.1064941406257,924.0287109375004
4615,1998,916.8332641601555,896.1517333984375,898.4603149414062
4312,1998,917.0500244140621,892.3910522460938,896.2448852539064
4569,1998,917.0962402343757,903.8887329101563,928.2474853515632
4510,1998,917.6028564453127,944.8733154296879,900.677734375
3356,1998,918.5034545898438,925.848278808593,900.8266845703129
2760,1998,918.5306762695309,967.3836425781251,899.5399658203123
4849,1998,918.9941894531248,906.06982421875,897.623046875
5163,1998,919.0299926757813,941.7446777343757,897.9151855468754
7112,1998,919.4507690429691,896.196911621093,926.2566528320313
3053,1998,919.517333984375,951.4872070312485,1110.0693359375
2406,1998,919.7109008789066,935.3351928710945,937.1915771484376
7140,1998,919.8382812500004,927.812768554686,890.009631347657
7215,1998,920.3432128906252,882.3904663085923,911.8806030273436
2831,1998,920.4645629882816,917.9037353515632,939.4077026367186
4300,1998,920.8951049804691,968.9022460937504,906.2141479492188
7270,1998,920.9061889648438,932.0875000000015,894.3570190429687
2200,1998,921.2593627929691,962.7174926757816,953.6526611328125
4019,1998,922.02587890625,929.7770629882816,924.0253295898438
3523,1998,922.3933349609379,900.9740722656243,907.4765502929688
847,1998,922.4778564453118,893.8167358398423,930.1613647460945
3556,1998,922.5176757812496,929.2120727539077,905.4804199218743
3984,1998,924.1513061523438,923.6494384765629,882.3522094726563
2325,1998,924.7799560546873,957.4546386718757,900.5513916015625
2470,1998,924.8603881835934,922.8709716796875,907.2866699218757
2443,1998,925.0569335937507,901.8505859375,903.1320068359382
6064,1998,925.2123413085938,975.9409057617195,910.6402954101562
7010,1998,925.2687744140621,927.931286621093,912.6830932617186
2706,1998,925.3262939453125,934.1708984375,876.6820312500004
6207,1998,925.4382202148436,960.936169433593,885.4999145507809
2263,1998,925.4806884765621,943.098522949218,914.0280395507813
7320,1998,925.8037841796876,927.4166625976559,924.6982421875
3023,1998,926.4827636718746,976.6547729492195,891.9169799804686
2880,1998,926.5406494140625,924.6101318359379,927.9691772460938
4133,1998,927.0323242187496,966.6289672851563,899.203271484375
3072,1998,927.0791137695314,943.9514648437507,964.8002807617195
5174,1998,927.3863403320311,935.8840209960945,889.6390136718751
2324,1998,927.6803833007816,944.7719970703129,924.6882202148445
4660,1998,928.3428222656257,911.0806396484368,888.6494873046868
2262,1998,928.7375976562498,949.2352661132809,899.8748291015627
2404,1998,928.8042724609377,867.8042968749996,911.6405273437504
2192,1998,928.8765258789063,959.0339843750007,945.8055053710937
2849,1998,929.2811035156251,944.3599975585939,902.7090698242187
5043,1998,929.4885742187507,920.5108154296877,961.4498046874996
6168,1998,929.5763671875002,963.4087768554673,896.7402099609371
4614,1998,930.7396240234375,903.3712646484382,891.487744140625
2196,1998,930.955187988282,968.8179565429687,947.8625000000002
4507,1998,931.5570922851548,919.3596313476555,928.3579223632805
2371,1998,931.653942871093,881.829968261718,897.338732910157
3169,1998,931.6641235351563,970.8156494140621,928.0047241210937
3355,1998,931.6685668945313,933.2415283203118,929.5337524414063
2161,1998,931.8050048828118,967.1405761718752,939.4920288085941
5690,1998,932.00830078125,908.8161499023445,936.9716430664062
4855,1998,932.018823242186,924.6095825195316,872.6902221679702
2016,1998,932.2709106445327,976.7502807617129,1072.640161132811
2518,1998,932.2789550781254,948.9224853515625,954.7211669921876
5320,1998,932.9141845703125,903.3826660156265,902.6576538085938
