"Origin","lon","lat"
"2143",151.0296696,-33.8893965
"2131",151.125756,-33.8909735
"2135",151.0762495,-33.8808808
"2170",150.9190988,-33.9477825
"2614",149.0525253,-35.2516136
"2913",149.1099161,-35.1783044
"7021",147.4888173,-42.9042835
"7018",147.3974377,-42.8727195
"7017",147.3379482,-42.7007869
"7171",147.5095172,-42.765277
"7019",147.4367555,-42.8951371
"7170",147.4680759,-42.8507505
"7024",147.5238773,-42.9500417
"7022",147.4263497,-43.0329872
"7020",147.4748606,-42.9517898
"7172",147.6082338,-42.7276445
"7009",147.3008839,-42.8418713
"7000",147.3100401,-42.8744692
"7008",147.2858972,-42.8667403
"7015",147.3550909,-42.8394367
"7214",147.9465902,-41.5180471
"7054",147.2181098,-42.8994454
"7005",147.3433797,-42.9148213
"7010",147.2556802,-42.8372769
"7140",146.5885592,-42.5170721
"7320",145.8962992,-41.0701328
"3064",144.9391595,-37.5424079
"7004",147.2829703,-42.8954918
"7215",148.2278837,-41.6050056
"7173",147.6846018,-42.8403868
"7187",147.8206282,-43.0808492
"3125",145.1099967,-37.8483275
"7053",147.3427927,-42.9517774
"7052",147.3203772,-43.0090716
"7030",147.0214014,-42.1876915
"7011",147.2330077,-42.7954134
"7050",133.775136,-25.274398
"3133",145.1983055,-37.8500602
"3150",145.1706992,-37.8921876
"3175",145.2148736,-38.0191689
"3129",145.1210303,-37.8052948
"3149",145.1265477,-37.8772869
"3179",145.220397,-37.9042587
"3170",145.1762197,-37.9267579
"7012",147.1788375,-42.8373287
"2750",150.6865817,-33.744767
"2759",150.7853574,-33.8060826
"2747",150.7330562,-33.7568098
"2749",150.6865817,-33.7039148
"2748",150.7330562,-33.818067
"2745",150.6517354,-33.8479652
"2761",150.8434913,-33.7393563
"0870",133.8768733,-23.7018903
"2914",149.1386215,-35.1615038
"2605",149.0898262,-35.3341832
"2912",149.1357507,-35.188067
"4131",153.1384143,-27.666306
"4207",153.2061661,-27.7319516
"4280",153.0383059,-27.835059
"4129",153.1884859,-27.6848624
"4208",153.2857165,-27.7674471
"4133",153.1030766,-27.7240022
"4285",152.9676695,-28.0150124
"4125",153.0441933,-27.7225265
"4127",153.1443045,-27.629563
"4128",153.1737578,-27.6519632
"4118",153.0500809,-27.6749806
"4130",153.2267554,-27.6740515
"3029",144.7082568,-37.8282806
"3024",144.5875645,-37.8706337
"4215",153.4036287,-27.965505
"4217",153.4095259,-28.004695
"2408",150.4892292,-28.9549564
"4216",153.4036287,-27.9004034
"4213",153.3347271,-28.142191
"4226",153.3859379,-28.0648601
"4220",153.4331163,-28.0963527
"2022",133.775136,-25.274398
"4350",151.9533185,-27.5564884
"4218",153.4213208,-28.0396814
"4719",150.1184797,-25.1114621
"6018",115.7871034,-31.8917374
"6050",115.8699209,-31.9267875
"6150",115.8373885,-32.0584003
"6008",115.8137261,-31.9575626
"6152",115.8699209,-32.0115829
"2196",151.0558691,-33.9293131
"2212",151.0151163,-33.9495044
"2211",151.0296696,-33.9608964
"2200",151.0296696,-33.9200458
"2210",151.0529578,-33.9566557
"2171",150.8434913,-33.9333763
"2209",151.0791612,-33.9454921
"2213",150.9947439,-33.9519315
"4415",150.3037323,-26.5252094
"4425",149.7948904,-26.7068322
"4419",150.1184797,-25.9692426
"2680",145.9358581,-34.394413
"3793",145.4360858,-37.8689357
"2705",146.3376699,-34.4808824
"2706",145.8690603,-34.6280192
"2681",146.1588712,-34.1102303
"3644",145.736481,-35.9546799
"4680",151.2463137,-23.8783576
"5472",138.4187846,-33.3859808
"4627",151.1215391,-25.3721972
"4695",150.9783868,-23.810368
"6525",115.0465991,-29.2906134
"6531",133.775136,-25.274398
"6107",115.9645378,-32.0121014
"6537",113.5728501,-25.732342
"6535",114.6192899,-28.2831844
"6515",116.1359431,-29.8880804
"2072",151.1548847,-33.7551473
"2290",151.712257,-32.9754667
"3220",144.3521811,-38.155681
"3228",144.2374759,-38.3419249
"3216",144.3139277,-38.1747227
"3227",144.4232713,-38.2498059
"3221",144.1501922,-38.1636337
"3478",143.2827118,-37.0021242
"3222",144.5875645,-38.2049453
"3230",144.1501922,-38.3850062
"3240",144.1283863,-38.2482932
"7310",146.2018576,-41.3586159
"7307",146.5081573,-41.2301525
"7315",146.1037444,-41.3068098
"7306",146.0234118,-41.6653269
"7304",146.5526657,-41.7246682
"3851",147.1464245,-38.2064012
"3850",147.0675028,-38.096577
"3860",146.9661233,-37.6951451
"3856",146.5392256,-38.0326139
"3976",145.2756505,-38.0349647
"6028",115.7279326,-31.7239719
"3858",146.6513853,-37.557605
"3847",146.8086278,-38.2317005
"3859",146.8985944,-37.920365
"3862",147.1915504,-37.4228208
"3857",146.6850587,-38.0132354
"3046",144.9336544,-37.7044261
"3047",144.9336544,-37.6763574
"3060",144.9666905,-37.6969273
"6026",115.798936,-31.8042538
"6027",115.7693535,-31.752231
"6030",115.7220148,-31.6986683
"2766",150.8493059,-33.8072744
"2770",150.8086082,-33.7610185
"2763",150.8900145,-33.7206583
"2155",150.9423702,-33.6880666
"2145",150.9481887,-33.8173961
"6232",115.7279326,-33.3072511
"6230",115.6273131,-33.3870825
"6233",115.7338502,-33.1853877
"6220",116.0886704,-33.0016541
"6224",115.8640062,-33.229939
"6239",115.8758354,-33.6142021
"0812",130.9081831,-12.3786651
"0820",130.8475181,-12.4264942
"0810",130.8677469,-12.3675944
"0831",131.0702137,-12.5924482
"0832",130.9940148,-12.5147979
"0830",131.0192349,-12.3860487
"2061",151.2146155,-33.8483957
"2068",151.20733,-33.7992003
"2065",151.195674,-33.8269489
"2025",151.2437606,-33.8865002
"2000",133.775136,-25.274398
"2021",133.775136,-25.274398
"2034",151.2539627,-33.9236193
"2037",151.1840188,-33.8802599
"2060",151.20733,-33.8401473
"2041",151.1781916,-33.8583166
"2049",151.1548847,-33.8932918
"2230",151.1461455,-34.0621862
"2033",151.2189869,-33.9096151
"2232",151.0646032,-34.0311029
"2040",151.1548847,-33.8779521
"2023",133.775136,-25.274398
"2090",151.2262729,-33.8283272
"2042",151.1781916,-33.8992314
"2081",151.1694511,-33.5769126
"2063",151.2189869,-33.8123999
"2340",151.0471355,-31.2814691
"2108",133.775136,-25.274398
"2088",151.2393885,-33.8303776
"2075",151.1694511,-33.7204426
"2594",148.0982046,-34.2563299
"2097",151.2947775,-33.734283
"2074",151.1577979,-33.6867425
"2354",151.8877321,-31.0638225
"2066",151.1694511,-33.8126017
"2093",151.2627078,-33.8055737
"2070",151.1665377,-33.7785908
"2092",151.2423032,-33.7927181
"2069",151.195674,-33.7808794
"2153",150.9889238,-33.7613862
"2566",150.8493059,-34.0317453
"2725",147.848103,-34.4822804
"2564",150.8900145,-33.9963891
"4132",153.0912986,-27.6781718
"4123",153.1207447,-27.5812621
"3138",145.3309395,-37.7822365
"3113",145.2148736,-37.7386037
"3786",145.3309395,-37.8759058
"3796",145.3917982,-37.7791563
"6111",116.1832068,-32.1384821
"6153",115.8433037,-32.0253285
"6149",115.8580914,-32.0671284
"6163",115.7930198,-32.0865957
"6155",115.91132,-32.0819784
"6154",115.8255575,-32.0397876
"6165",115.798936,-32.1964799
"6164",115.8640062,-32.1346584
"0835",131.0696413,-12.4779013
"0836",131.1401349,-12.5476127
"0837",131.1803774,-12.8346029
"3356",143.8183092,-37.5881949
"0828",130.9485906,-12.4265049
"5125",138.7241621,-34.7715516
"5092",138.6840168,-34.8192845
"5108",138.6288642,-34.7552535
"5093",138.6614478,-34.8352083
"5127",138.686525,-34.7996704
"5089",138.7342029,-34.8491256
"5082",138.5937955,-34.8828879
"5126",138.7266721,-34.7978361
"3660",145.2480193,-37.0435482
"3658",145.093449,-37.2372916
"3661",133.775136,-25.274398
"3522",144.7631754,-37.0314398
"3659",145.1155133,-37.1126329
"3664",145.3364703,-36.9214551
"3337",144.5875645,-37.6095412
"3523",144.7412036,-36.8919051
"3631",145.4693163,-36.4324574
"3435",144.7192376,-37.2423687
"2360",151.2335592,-29.640762
"2617",149.092696,-35.228161
"00",133.775136,-25.274398
"2604",149.1529768,-35.3321319
"2602",149.1328799,-35.2544049
"2099",151.2860306,-33.7500081
"2084",151.2219013,-33.6363689
"2096",151.2889461,-33.7738038
"2087",151.2160726,-33.773259
"2094",151.2729111,-33.7940757
"2100",151.2627078,-33.7645979
"6025",115.7456852,-31.7998382
"6020",115.7516025,-31.825112
"6023",115.7752703,-31.8306124
"6060",115.8462613,-31.9001174
"3194",145.0741474,-37.9786189
"3193",145.0328017,-37.9809272
"3196",145.1210303,-38.048116
"3195",145.1044805,-38.0005492
"3188",145.0135139,-37.9394031
"3189",145.0576067,-37.9403568
"3190",145.0410692,-37.9487497
"3199",145.1486206,-38.1645944
"3172",145.1320653,-37.9772192
"3192",145.0658766,-37.964155
"2120",151.0762495,-33.7274311
"2079",151.125756,-33.6709087
"2077",151.0995447,-33.6924088
"2082",151.134494,-33.5988104
"2080",151.134494,-33.6500724
"2076",151.1228434,-33.7085861
"2073",151.134494,-33.7627554
"6016",115.8373885,-31.920607
"6054",115.9408868,-31.9007183
"6019",115.7634366,-31.896864
"6051",115.9024493,-31.938255
"7250",147.0977983,-41.45012
"7259",147.3862417,-41.3420719
"7249",147.1575845,-41.4740678
"7248",147.1446457,-41.3887982
"2616",133.775136,-25.274398
"2323",151.4902483,-32.9103365
"2320",151.5369624,-32.7147232
"2327",151.4844099,-32.8312613
