postcode,metro,regional,remote,postcode_4digit,lon,lat
1325,1,0,0,1325,Unknown,Unknown
1335,1,0,0,1335,Unknown,Unknown
1340,1,0,0,1340,Unknown,Unknown
1350,1,0,0,1350,Unknown,Unknown
1355,1,0,0,1355,Unknown,Unknown
1360,1,0,0,1360,Unknown,Unknown
1363,1,0,0,1363,Unknown,Unknown
1400,1,0,0,1400,Unknown,Unknown
1401,1,0,0,1401,Unknown,Unknown
1402,1,0,0,1402,Unknown,Unknown
1403,1,0,0,1403,Unknown,Unknown
1404,1,0,0,1404,Unknown,Unknown
1405,1,0,0,1405,Unknown,Unknown
1407,1,0,0,1407,Unknown,Unknown
1418,1,0,0,1418,Unknown,Unknown
1420,1,0,0,1420,Unknown,Unknown
1424,1,0,0,1424,Unknown,Unknown
1430,1,0,0,1430,Unknown,Unknown
1435,1,0,0,1435,Unknown,Unknown
1440,1,0,0,1440,Unknown,Unknown
1441,1,0,0,1441,Unknown,Unknown
1445,1,0,0,1445,Unknown,Unknown
1450,1,0,0,1450,Unknown,Unknown
1455,1,0,0,1455,Unknown,Unknown
1460,1,0,0,1460,Unknown,Unknown
1465,1,0,0,1465,Unknown,Unknown
1466,1,0,0,1466,Unknown,Unknown
1470,1,0,0,1470,Unknown,Unknown
1475,1,0,0,1475,Unknown,Unknown
1480,1,0,0,1480,Unknown,Unknown
1481,1,0,0,1481,Unknown,Unknown
1485,1,0,0,1485,Unknown,Unknown
1490,1,0,0,1490,Unknown,Unknown
1495,1,0,0,1495,Unknown,Unknown
1499,1,0,0,1499,Unknown,Unknown
1501,1,0,0,1501,Unknown,Unknown
1502,1,0,0,1502,Unknown,Unknown
1503,1,0,0,1503,Unknown,Unknown
1505,1,0,0,1505,Unknown,Unknown
1506,1,0,0,1506,Unknown,Unknown
1508,1,0,0,1508,Unknown,Unknown
1511,1,0,0,1511,Unknown,Unknown
1515,1,0,0,1515,Unknown,Unknown
1560,1,0,0,1560,Unknown,Unknown
1565,1,0,0,1565,NA,NA
1570,1,0,0,1570,Unknown,Unknown
1585,1,0,0,1585,Unknown,Unknown
1590,1,0,0,1590,Unknown,Unknown
1595,1,0,0,1595,Unknown,Unknown
1601,1,0,0,1601,Unknown,Unknown
1602,1,0,0,1602,Unknown,Unknown
1603,1,0,0,1603,Unknown,Unknown
1604,1,0,0,1604,Unknown,Unknown
1607,1,0,0,1607,Unknown,Unknown
1610,1,0,0,1610,Unknown,Unknown
1611,1,0,0,1611,Unknown,Unknown
1630,1,0,0,1630,Unknown,Unknown
1635,1,0,0,1635,Unknown,Unknown
1639,1,0,0,1639,Unknown,Unknown
1640,1,0,0,1640,147.2637001,-43.020577
1648,1,0,0,1648,Unknown,Unknown
1655,1,0,0,1655,Unknown,Unknown
1660,1,0,0,1660,Unknown,Unknown
1670,1,0,0,1670,Unknown,Unknown
1675,1,0,0,1675,Unknown,Unknown
1680,1,0,0,1680,Unknown,Unknown
1685,1,0,0,1685,Unknown,Unknown
1692,1,0,0,1692,Unknown,Unknown
1700,1,0,0,1700,Unknown,Unknown
1701,1,0,0,1701,Unknown,Unknown
1710,1,0,0,1710,Unknown,Unknown
1715,1,0,0,1715,Unknown,Unknown
1730,1,0,0,1730,Unknown,Unknown
1740,1,0,0,1740,Unknown,Unknown
1750,1,0,0,1750,Unknown,Unknown
1755,1,0,0,1755,Unknown,Unknown
1765,1,0,0,1765,Unknown,Unknown
1780,1,0,0,1780,Unknown,Unknown
1790,1,0,0,1790,Unknown,Unknown
1797,1,0,0,1797,Unknown,Unknown
1800,1,0,0,1800,151.12466,-33.8884
1801,1,0,0,1801,Unknown,Unknown
1805,1,0,0,1805,Unknown,Unknown
1811,1,0,0,1811,Unknown,Unknown
1819,1,0,0,1819,Unknown,Unknown
1821,1,0,0,1821,151.2084984,-33.8683694
1825,1,0,0,1825,Unknown,Unknown
1830,1,0,0,1830,Unknown,Unknown
1835,1,0,0,1835,Unknown,Unknown
1850,1,0,0,1850,Unknown,Unknown
1851,1,0,0,1851,Unknown,Unknown
1855,1,0,0,1855,Unknown,Unknown
1860,1,0,0,1860,Unknown,Unknown
1871,1,0,0,1871,Unknown,Unknown
1875,1,0,0,1875,Unknown,Unknown
1885,1,0,0,1885,Unknown,Unknown
1888,1,0,0,1888,Unknown,Unknown
1890,1,0,0,1890,Unknown,Unknown
1891,1,0,0,1891,Unknown,Unknown
1956,1,0,0,1956,Unknown,Unknown
1965,1,0,0,1965,Unknown,Unknown
2000,1,0,0,2000,151.20733,-33.8708464
2001,1,0,0,2001,Unknown,Unknown
2002,1,0,0,2002,Unknown,Unknown
2004,1,0,0,2004,Unknown,Unknown
2005,1,0,0,2005,Unknown,Unknown
2006,1,0,0,2006, 151.187,-33.888
2007,1,0,0,2007,151.20204,-33.88371
2008,1,0,0,2008,151.307,-33.601
2009,1,0,0,2009,151.193,-33.869
2010,1,0,0,2010,151.216,-33.883
2011,1,0,0,2011,151.222,-33.866
2012,1,0,0,2012,151.26307,-33.89381
2013,1,0,0,2013,151.26307,-33.89381
2014,1,0,0,2014,NA,NA
2015,1,0,0,2015,151.192,-33.907
2016,1,0,0,2016,151.207,-33.893
2017,1,0,0,2017,151.207,-33.904
2018,1,0,0,2018,151.209,-33.925
2019,1,0,0,2019,151.204,-33.954
2020,1,0,0,2020,151.184,-33.947
2021,1,0,0,2021,151.228,-33.891
2022,1,0,0,2022,151.25,-33.896
2023,1,0,0,2023,151.256,-33.88
2024,1,0,0,2024,151.2597927,-33.9046399
2025,1,0,0,2025,151.244,-33.886
2026,1,0,0,2026,151.2714535,-33.8922511
2027,1,0,0,2027,151.2379312,-33.8722288
2028,1,0,0,2028,151.2437606,-33.8788259
2029,1,0,0,2029,151.265623,-33.8754209
2030,1,0,0,2030,151.2772841,-33.8579067
2031,1,0,0,2031,151.2393885,-33.9122447
2032,1,0,0,2032,151.2306446,-33.9279209
2033,1,0,0,2033,151.2189869,-33.9096151
2034,1,0,0,2034,151.2539627,-33.9236193
2035,1,0,0,2035,151.2393885,-33.942927
2036,1,0,0,2036,151.2393885,-33.9735997
2037,1,0,0,2037,151.1840188,-33.8802599
2038,1,0,0,2038,151.1723645,-33.8824062
2039,1,0,0,2039,151.1738213,-33.8661553
2040,1,0,0,2040,151.1548847,-33.8779521
2041,1,0,0,2041,151.1781916,-33.8583166
2042,1,0,0,2042,151.1781916,-33.8992314
2043,1,0,0,2043,151.1854757,-33.9023649
2044,1,0,0,2044,151.1665377,-33.921824
2045,1,0,0,2045,151.139, -33.880
2046,1,0,0,2046,151.1315813,-33.8566687
2047,1,0,0,2047,151.1548847,-33.8523805
2048,1,0,0,2048,151.165, -33.894
2049,1,0,0,2049,151.1548847,-33.8932918
2050,1,0,0,2050,151.1767348,-33.8899117
2051,1,0,0,2051,Unknown,Unknown
2052,1,0,0,2052,151.229916,-33.916869
2055,1,0,0,2055,Unknown,Unknown
2056,1,0,0,2056,Unknown,Unknown
2057,1,0,0,2057,Unknown,Unknown
2058,1,0,0,2058,Unknown,Unknown
2059,1,0,0,2059,Unknown,Unknown
2060,1,0,0,2060,151.20733,-33.8401473
2061,1,0,0,2061,151.2146155,-33.8483957
2062,1,0,0,2062,151.2146155,-33.8228068
2063,1,0,0,2063,151.2189869,-33.8123999
2064,1,0,0,2064,151.1840188,-33.8086312
2065,1,0,0,2065,151.195674,-33.8269489
2066,1,0,0,2066,151.1694511,-33.8126017
2067,1,0,0,2067,151.1781916,-33.7969122
2068,1,0,0,2068,151.20733,-33.7992003
2069,1,0,0,2069,151.195674,-33.7808794
2070,1,0,0,2070,151.1665377,-33.7785908
