postcode,year,disadvantage,econ_resources,educ_occupation
2559,2009,583.2000000000007,685.2000000000007,750.3999999999996
822,2009,646,655.3999999999996,880.4000000000001
2306,2009,660.5999999999999,723.3999999999996,757
5113,2009,724,794.6000000000004,773
6728,2009,743.5999999999985,757.5999999999985,886.1999999999971
4114,2009,781,833.7999999999993,809.5999999999985
4303,2009,781.2000000000007,835,819.3999999999996
3047,2009,783,864.3999999999996,846.6000000000004
2166,2009,783.4000000000015,885.3999999999996,848.4000000000015
5112,2009,785.7999999999993,841.2000000000007,818.4000000000015
4714,2009,786.7999999999993,863.4000000000001,824.7999999999993
5422,2009,805.4000000000015,874.5999999999985,866.2000000000007
5084,2009,811.3999999999996,837.6000000000004,881.4000000000015
5608,2009,814.2000000000007,826,834.7999999999993
3048,2009,815.5999999999999,912.5999999999999,851
2165,2009,816.5999999999999,903,875.2000000000007
2369,2009,825.7999999999993,906.7999999999993,856.8000000000002
4184,2009,827,873.8,886
3177,2009,829.2000000000007,879.4000000000001,845.5999999999985
4077,2009,833.6000000000004,889.6000000000004,873
2770,2009,834.3999999999996,882.2000000000007,848
5012,2009,835.8000000000002,871,901.3999999999996
4871,2009,837.1999999999971,864.1999999999971,891
2502,2009,837.2000000000007,892.6000000000004,851.1999999999998
7248,2009,842,847,871.3999999999996
3423,2009,847.1999999999971,909.5999999999985,903.5999999999985
5010,2009,847.6000000000004,883.2000000000007,909.4000000000015
3021,2009,849.5999999999999,909,870.7999999999993
3171,2009,849.5999999999999,902.1999999999998,894.4000000000015
4614,2009,850.3999999999996,923.5999999999999,863.2000000000007
860,2009,855.1999999999998,828.4000000000001,972.7999999999993
5106,2009,855.5999999999985,908.3999999999996,838.6000000000004
5108,2009,855.5999999999985,908.3999999999996,838.6000000000004
2144,2009,858.1999999999998,879.2000000000007,924.4000000000015
2168,2009,858.1999999999998,942,877
7030,2009,859.8,915,834
4888,2009,861.2000000000007,911.2000000000007,879.3999999999996
5017,2009,863.7999999999993,876.3999999999996,876.1999999999998
3472,2009,865.8000000000002,914.8,885.3999999999996
4627,2009,866,932.1999999999971,911.5999999999985
4580,2009,867.6000000000004,924.3999999999996,859.4000000000001
5013,2009,869.5999999999999,886.2000000000001,897.3999999999996
4615,2009,869.6000000000004,936.5999999999999,879.1999999999998
3840,2009,871.2000000000007,894,869.5999999999999
2440,2009,871.3999999999996,922.7999999999993,882.4000000000001
5700,2009,872.3999999999996,880.3999999999996,878.6000000000004
5701,2009,872.3999999999996,880.3999999999996,878.6000000000004
2161,2009,872.4000000000001,917.3999999999996,925.7999999999993
6438,2009,873.5999999999985,868.8000000000002,927.2000000000007
5540,2009,876.3999999999996,901,868.5999999999999
3020,2009,878.1999999999998,914,901.2000000000007
7010,2009,878.2000000000007,888.1999999999998,883.6000000000004
3074,2009,878.8,940,878.3999999999996
5279,2009,879.3999999999942,959.3999999999942,842.8000000000029
2564,2009,879.6000000000004,908.2000000000007,886.6000000000004
3175,2009,879.6000000000004,906.3999999999996,898.5999999999985
2162,2009,883,926,923
5253,2009,883.8000000000002,917.1999999999998,853.8000000000002
7261,2009,884,943.5999999999985,854.6000000000058
2469,2009,884.1999999999998,945.4000000000015,921.3999999999996
2506,2009,885.4000000000001,919.8000000000002,871.6000000000004
2820,2009,887.2000000000001,928.8000000000002,927.2000000000007
4659,2009,887.6000000000004,948.2000000000001,861
7140,2009,887.8000000000002,940.8000000000002,857.4000000000001
3465,2009,888.8000000000002,913.4000000000001,889
7210,2009,890,921,875.5999999999985
2200,2009,890.1999999999998,920,951.6000000000004
4365,2009,890.1999999999998,962.2000000000007,899.8000000000002
5343,2009,891,902.8000000000002,917.4000000000001
3022,2009,891.7999999999993,908.1999999999998,918.6000000000004
3355,2009,891.8000000000002,890.3999999999996,900
4132,2009,892,939.7999999999993,844.8000000000002
3075,2009,893.3999999999996,957.7999999999993,891.1999999999998
2470,2009,893.4000000000001,943.1999999999998,859.4000000000001
4508,2009,895.3999999999996,932.4000000000001,875
3174,2009,895.4000000000001,916.1999999999998,915.3999999999996
5345,2009,895.8000000000002,929.6000000000004,901.3999999999996
5107,2009,896.3999999999996,949.4000000000001,869
880,2009,896.6000000000004,826.8000000000029,993.7999999999993
7216,2009,898.5999999999999,921.3999999999996,906.7999999999993
3825,2009,900,911.8000000000002,887.3999999999996
4650,2009,900.2000000000007,933.8000000000002,884.2000000000007
2199,2009,900.8000000000002,942,932.3999999999996
3467,2009,901.6000000000004,928.6000000000004,927.6000000000004
5341,2009,902.8,935.1999999999998,881.6000000000004
2164,2009,903,966.2000000000001,907.2000000000007
4131,2009,904,927,893.4000000000015
7320,2009,904.3999999999996,906.2000000000001,897.2000000000001
4860,2009,906.3999999999996,919.8000000000002,900.3999999999996
2142,2009,906.6000000000004,896.8000000000002,966.3999999999996
7270,2009,907.3999999999996,948.8000000000002,886.8
2541,2009,907.5999999999999,928.1999999999998,920.1999999999998
3556,2009,907.5999999999999,927.4000000000001,890.8000000000002
2263,2009,907.6000000000004,933.2000000000007,892
3356,2009,907.8000000000002,915.3999999999996,895.4000000000001
2551,2009,908,926.1999999999998,887.2000000000007
4510,2009,908.6000000000004,947.8000000000002,884.1999999999998
2190,2009,908.7999999999993,955.6000000000004,956
2160,2009,909.1999999999998,925.5999999999999,953
3380,2009,910.2000000000001,935,896.6000000000004
2196,2009,910.3999999999996,950.6000000000004,943.3999999999996
6061,2009,911.4000000000001,919,935
5115,2009,911.7999999999993,927.2000000000007,877.6000000000004
2194,2009,912.5999999999985,894.1999999999998,976.8000000000002
2192,2009,912.6000000000004,924.6000000000004,950.7999999999993
7310,2009,912.7999999999993,928.6000000000004,902.8
3500,2009,913.2000000000001,914.4000000000001,925
2325,2009,913.3999999999996,954.8000000000002,880.2000000000001
5110,2009,913.5999999999985,973,873.4000000000015
4304,2009,913.6000000000004,919.6000000000004,899.8000000000002
4660,2009,915,966.6000000000004,892.1999999999998
2474,2009,915.6000000000004,945.4000000000001,937.2000000000001
5163,2009,916.3999999999996,941.8000000000002,887
7011,2009,916.6000000000004,924.3999999999996,874.5999999999999
4726,2009,917,954.4000000000015,909.5999999999985
3660,2009,917.4000000000001,928.7999999999993,911.1999999999998
2370,2009,917.5999999999999,941.5999999999999,934.8000000000002
7322,2009,917.5999999999999,934.1999999999998,888
3081,2009,918.4000000000015,889.7999999999993,1001.6
2430,2009,918.6000000000004,943.6000000000004,916.3999999999996
2360,2009,920.8000000000002,946.2000000000001,919
4570,2009,921.2000000000007,961.5999999999999,905.5999999999999
2805,2009,921.4000000000015,984.4000000000015,916
2143,2009,921.5999999999985,944.7999999999993,966
2790,2009,921.5999999999999,946.4000000000001,895.2000000000007
7116,2009,921.5999999999999,961.8,924
2794,2009,921.8000000000002,948.6000000000004,909.8000000000002
5290,2009,921.8000000000002,924.8000000000002,894
