postcode,year,disadvantage,econ_resources,educ_occupation
2559,2009,589.2000000000044,656,755.1999999999989
822,2009,615.6000000000004,649.4000000000006,878
2807,2009,745.7999999999997,852.8000000000001,795.6000000000004
5113,2009,758.8000000000011,806.2000000000001,788.5999999999995
2166,2009,772.5999999999995,879.8000000000002,878
4871,2009,776,804.2000000000007,888.6000000000001
4303,2009,782,826.2000000000003,834.6000000000004
3047,2009,796.6000000000004,873.5999999999999,853.4000000000001
5012,2009,801,841.7999999999993,893.7999999999993
5084,2009,815,822.3999999999996,915.8000000000002
4114,2009,819.3999999999996,848.2000000000003,842.8000000000002
7019,2009,819.3999999999996,840.3999999999978,825.2000000000003
3061,2009,824,917.8000000000011,868.8
5164,2009,825.1999999999998,833,848.7999999999997
5112,2009,825.3999999999978,856,843.5999999999995
4077,2009,826.8,881.2000000000003,878.5999999999999
2770,2009,828.8000000000011,866.5999999999999,846.4000000000006
7016,2009,829.1999999999999,863.3999999999996,809.5999999999999
847,2009,830,837.3999999999978,900.7999999999997
3048,2009,830.8000000000011,913.4000000000001,871
5608,2009,834.1999999999998,832.8000000000011,848.4000000000001
860,2009,836.8000000000011,836.8000000000002,968
5552,2009,840.4000000000087,936.2000000000044,856.5999999999913
3171,2009,848,901,915.6000000000004
5017,2009,850.5999999999995,861.1999999999989,865.8000000000002
4662,2009,851.8000000000011,913.4000000000001,822.8000000000011
5010,2009,853.1999999999989,881.1999999999989,929
7248,2009,857.1999999999998,853.4000000000001,886.1999999999998
3021,2009,857.5999999999995,917.4000000000006,888.3999999999999
845,2009,859.7999999999993,854.3999999999978,991.4000000000001
7030,2009,859.8000000000001,905.3999999999996,833.2000000000003
5013,2009,862.8000000000002,880.5999999999995,899
2144,2009,863,897.6000000000004,955.5999999999999
2195,2009,864.4000000000006,865.1999999999998,949
7027,2009,867.4000000000001,943,877.7999999999993
2177,2009,868.5999999999999,965.1999999999998,918
4816,2009,871,893.1999999999998,905
