"Origin","lon","lat"
"2605",149.0898262,-35.3341832
"2606",149.0898262,-35.3490795
"2906",149.0984358,-35.463155
"2904",149.0984358,-35.4135536
"2630",149.1960526,-36.3150116
"2902",133.775136,-25.274398
"2617",149.092696,-35.228161
"2903",149.0898262,-35.3987152
"2611",148.7831534,-35.4477412
"2607",149.0984358,-35.3639236
"4350",151.9533185,-27.5564884
"2603",149.1328799,-35.3239832
"2614",149.0525253,-35.2516136
"2615",149.0238401,-35.2087136
"2914",149.1386215,-35.1615038
"2602",149.1328799,-35.2544049
"2620",149.0123679,-35.631888
"2612",149.1414924,-35.2792021
"2619",149.2017971,-35.3831348
"2621",149.4490642,-35.4176011
"2912",149.1357507,-35.188067
"2600",149.1099161,-35.3075699
"2609",149.2190324,-35.2736652
"2913",149.1099161,-35.1783044
"2618",149.0353134,-35.1423355
"0812",130.9081831,-12.3786651
"2604",149.1529768,-35.3321319
"2905",149.1099161,-35.4366428
"6069",116.005922,-31.7645555
"2582",148.8289611,-34.9445333
"2613",133.775136,-25.274398
"2626",149.1501056,-35.8686568
"2586",148.8289611,-34.4652711
"2580",149.7487272,-34.7206289
"2021",133.775136,-25.274398
"2064",151.1840188,-33.8086312
"2066",151.1694511,-33.8126017
"2071",151.1665377,-33.7632319
"2079",151.125756,-33.6709087
"2060",151.20733,-33.8401473
"2077",151.0995447,-33.6924088
"2076",151.1228434,-33.7085861
"2075",151.1694511,-33.7204426
"2086",151.2248157,-33.7473073
"2074",151.1577979,-33.6867425
"2100",151.2627078,-33.7645979
"2084",151.2219013,-33.6363689
"2357",149.1960526,-31.3085444
"2067",151.1781916,-33.7969122
"2039",151.1738213,-33.8661553
"2158",151.0354914,-33.6914284
"2305",151.7064109,-32.9274242
"2070",151.1665377,-33.7785908
"2065",151.195674,-33.8269489
"3691",146.9661233,-36.2373927
"2640",147.259277,-35.9976838
"2642",148.052689,-36.0220179
"2641",146.9548653,-36.0303655
"3690",146.8423556,-36.1118041
"2643",146.6289429,-35.9580119
"2234",151.006385,-34.0161592
"2213",150.9947439,-33.9519315
"2211",151.0296696,-33.9608964
"2350",151.9813913,-30.4941859
"2358",151.373521,-30.5621734
"2196",151.0558691,-33.9293131
"2209",151.0791612,-33.9454921
"2195",151.0733379,-33.9235692
"2199",151.0209375,-33.9050378
"2205",151.1490585,-33.9378099
"2565",150.8493059,-33.9909712
"2194",151.1024569,-33.9105784
"2210",151.0529578,-33.9566557
"2207",151.1228434,-33.9541086
"2206",151.125756,-33.9267511
"2770",150.8086082,-33.7610185
"2767",150.8783824,-33.7585633
"2761",150.8434913,-33.7393563
"2142",151.006385,-33.8323277
"2763",150.8900145,-33.7206583
"2177",150.8812903,-33.8946607
"2170",150.9190988,-33.9477825
"2176",150.8783824,-33.8709405
"2166",150.9365521,-33.8961316
"2880",141.6834275,-30.5512963
"2830",148.6001005,-32.1754247
"3505",141.8100218,-34.189156
"2304",151.7356433,-32.877603
"2287",151.6654939,-32.9018298
"2307",151.6917966,-32.879801
"2290",151.712257,-32.9754667
"2319",152.0048138,-32.7043146
"2335",151.3501856,-32.6270649
"2570",150.6285091,-34.0252949
"2568",150.7098171,-34.1380681
"2571",150.6401218,-34.2011979
"2564",150.8900145,-33.9963891
"2560",150.8144215,-34.2364674
"2283",151.5953736,-33.050132
"2159",151.0704263,-33.5876386
"2155",150.9423702,-33.6880666
"2147",150.9365521,-33.7632936
"2156",150.9656452,-33.6530868
"2154",150.9947439,-33.7270691
"2153",150.9889238,-33.7613862
"2161",150.9831038,-33.8570185
"2145",150.9481887,-33.8173961
"2756",150.7214362,-33.3137032
"2768",150.9278252,-33.7278158
"2150",151.0092954,-33.8151823
"2152",150.9918338,-33.7902573
"2747",150.7330562,-33.7568098
"2146",150.9569167,-33.7915266
"2160",150.9831038,-33.8365794
"2037",151.1840188,-33.8802599
"2260",151.4377107,-33.4287117
"2250",151.1869325,-33.3502247
"2251",151.38519,-33.4721323
"2258",151.3501856,-33.3295763
"2261",151.4318742,-33.3603327
"2256",151.2568777,-33.5117779
"2257",151.3385191,-33.5220832
"2217",151.1374068,-33.9757081
"2226",151.0646032,-34.0106901
"2221",151.1111936,-33.9919897
"2220",151.0995447,-33.9583688
"2225",151.0791612,-34.0016599
"2233",151.0704263,-34.1193032
"2232",151.0646032,-34.0311029
"2223",151.0762495,-33.9830462
"2224",151.0995447,-34.0094315
"2218",151.1199309,-33.9712426
"2229",151.1228434,-34.0460194
"2831",146.741207,-31.038393
"2421",151.5369624,-32.5902258
"2420",151.7473377,-32.3296556
"2321",151.4435474,-32.6916544
"2311",151.4668962,-32.2611927
"2324",151.9111422,-32.6400424
"2320",151.5369624,-32.7147232
"2259",151.3501856,-33.2059456
"2425",152.0282394,-32.4809178
"2559",150.794076,-34.050553
"2558",150.8057017,-34.0331927
"2567",150.7562989,-34.048387
"2171",150.8434913,-33.9333763
"2745",150.6517354,-33.8479652
"2473",153.4213208,-29.1102761
"2471",153.2267838,-28.9987239
"2472",153.3210837,-29.1481762
"4300",152.908824,-27.6453606
"2871",147.7346113,-33.5103372
"2876",147.8708157,-33.1071907
"2680",145.9358581,-34.394413
"2190",151.0529578,-33.90558
"2566",150.8493059,-34.0317453
"2212",151.0151163,-33.9495044
"2422",151.7941232,-31.9652427
"2424",152.0282394,-31.6440437
"2415",151.8643252,-32.2537173
"2850",149.5642369,-32.5593561
"2765",150.8725666,-33.6496795
"2754",150.7156265,-33.5631923
"00",133.775136,-25.274398
"2045",151.1374068,-33.8786088
"2112",151.1111936,-33.807991
