"RA_2006_CODE","RA_2006_NAME","POA_2006_CODE","POA_2006_CODE","RATIO","PERCENT"
"10","Major Cities of Australia","2162","2162",1,100
"10","Major Cities of Australia","2163","2163",1,100
"10","Major Cities of Australia","2164","2164",1,100
"10","Major Cities of Australia","2165","2165",1,100
"10","Major Cities of Australia","2166","2166",1,100
"10","Major Cities of Australia","2167","2167",1,100
"10","Major Cities of Australia","2168","2168",1,100
"10","Major Cities of Australia","2170","2170",1,100
"10","Major Cities of Australia","2171","2171",1,100
"10","Major Cities of Australia","2172","2172",1,100
"10","Major Cities of Australia","2173","2173",1,100
"10","Major Cities of Australia","2174","2174",1,100
"10","Major Cities of Australia","2175","2175",1,100
"10","Major Cities of Australia","2176","2176",1,100
"10","Major Cities of Australia","2177","2177",1,100
"10","Major Cities of Australia","2178","2178",1,100
"10","Major Cities of Australia","2179","2179",1,100
"10","Major Cities of Australia","2190","2190",1,100
"10","Major Cities of Australia","2191","2191",1,100
"10","Major Cities of Australia","2192","2192",1,100
"10","Major Cities of Australia","2193","2193",1,100
"10","Major Cities of Australia","2194","2194",1,100
"10","Major Cities of Australia","2195","2195",1,100
"10","Major Cities of Australia","2196","2196",1,100
"10","Major Cities of Australia","2197","2197",1,100
"10","Major Cities of Australia","2198","2198",1,100
"10","Major Cities of Australia","2199","2199",1,100
"10","Major Cities of Australia","2200","2200",1,100
"10","Major Cities of Australia","2203","2203",1,100
"10","Major Cities of Australia","2204","2204",1,100
"10","Major Cities of Australia","2205","2205",1,100
"10","Major Cities of Australia","2206","2206",1,100
"10","Major Cities of Australia","2207","2207",1,100
"10","Major Cities of Australia","2208","2208",1,100
"10","Major Cities of Australia","2209","2209",1,100
"10","Major Cities of Australia","2210","2210",1,100
"10","Major Cities of Australia","2211","2211",1,100
"10","Major Cities of Australia","2212","2212",1,100
"10","Major Cities of Australia","2213","2213",1,100
"10","Major Cities of Australia","2214","2214",1,100
"10","Major Cities of Australia","2216","2216",1,100
"10","Major Cities of Australia","2217","2217",1,100
"10","Major Cities of Australia","2218","2218",1,100
"10","Major Cities of Australia","2219","2219",1,100
"10","Major Cities of Australia","2220","2220",1,100
"10","Major Cities of Australia","2221","2221",1,100
"10","Major Cities of Australia","2222","2222",1,100
"10","Major Cities of Australia","2223","2223",1,100
"10","Major Cities of Australia","2224","2224",1,100
"10","Major Cities of Australia","2225","2225",1,100
"10","Major Cities of Australia","2226","2226",1,100
"10","Major Cities of Australia","2227","2227",1,100
"10","Major Cities of Australia","2228","2228",0.9999,99.99
"10","Major Cities of Australia","2229","2229",1,100
"10","Major Cities of Australia","2230","2230",0.9071,90.71
"10","Major Cities of Australia","2231","2231",1,100
"10","Major Cities of Australia","2232","2232",0.9997,99.97
"10","Major Cities of Australia","2233","2233",0.9839,98.39
"10","Major Cities of Australia","2234","2234",1,100
"10","Major Cities of Australia","2250","2250",0.9482,94.82
"10","Major Cities of Australia","2251","2251",0.968,96.8
"10","Major Cities of Australia","2256","2256",0.9849,98.49
"10","Major Cities of Australia","2257","2257",1,100
"10","Major Cities of Australia","2258","2258",0.8444,84.44
"10","Major Cities of Australia","2259","2259",0.9375,93.75
"10","Major Cities of Australia","2260","2260",1,100
"10","Major Cities of Australia","2261","2261",1,100
"10","Major Cities of Australia","2262","2262",1,100
"10","Major Cities of Australia","2263","2263",1,100
"10","Major Cities of Australia","2267","2267",1,100
"10","Major Cities of Australia","2278","2278",1,100
"10","Major Cities of Australia","2280","2280",1,100
"10","Major Cities of Australia","2281","2281",1,100
"10","Major Cities of Australia","2282","2282",1,100
"10","Major Cities of Australia","2283","2283",1,100
"10","Major Cities of Australia","2284","2284",1,100
"10","Major Cities of Australia","2285","2285",1,100
"10","Major Cities of Australia","2286","2286",1,100
"10","Major Cities of Australia","2287","2287",1,100
"10","Major Cities of Australia","2289","2289",1,100
"10","Major Cities of Australia","2290","2290",1,100
"10","Major Cities of Australia","2291","2291",1,100
"10","Major Cities of Australia","2292","2292",1,100
"10","Major Cities of Australia","2293","2293",1,100
"10","Major Cities of Australia","2294","2294",1,100
"10","Major Cities of Australia","2295","2295",1,100
"10","Major Cities of Australia","2296","2296",1,100
"10","Major Cities of Australia","2297","2297",1,100
"10","Major Cities of Australia","2298","2298",1,100
"10","Major Cities of Australia","2299","2299",1,100
"10","Major Cities of Australia","2300","2300",1,100
"10","Major Cities of Australia","2302","2302",1,100
"10","Major Cities of Australia","2303","2303",1,100
"10","Major Cities of Australia","2304","2304",1,100
"10","Major Cities of Australia","2305","2305",1,100
"10","Major Cities of Australia","2306","2306",1,100
"10","Major Cities of Australia","2307","2307",1,100
"10","Major Cities of Australia","2318","2318",0.0984,9.84
"10","Major Cities of Australia","2320","2320",0.9511,95.11
"10","Major Cities of Australia","2321","2321",0.5087,50.87
"10","Major Cities of Australia","2322","2322",1,100
"10","Major Cities of Australia","2323","2323",0.9664,96.64
"10","Major Cities of Australia","2324","2324",0.6558,65.58
"10","Major Cities of Australia","2326","2326",0.8396,83.96
"10","Major Cities of Australia","2327","2327",1,100
"10","Major Cities of Australia","2484","2484",0.0152,1.52
"10","Major Cities of Australia","2485","2485",1,100
"10","Major Cities of Australia","2486","2486",0.9877,98.77
"10","Major Cities of Australia","2487","2487",1,100
"10","Major Cities of Australia","2488","2488",1,100
"10","Major Cities of Australia","2489","2489",1,100
"10","Major Cities of Australia","2490","2490",1,100
"10","Major Cities of Australia","2500","2500",1,100
"10","Major Cities of Australia","2502","2502",1,100
"10","Major Cities of Australia","2505","2505",1,100
"10","Major Cities of Australia","2506","2506",1,100
"10","Major Cities of Australia","2508","2508",0.9785,97.85
"10","Major Cities of Australia","2515","2515",1,100
