postcode,year,disadvantage,econ_resources,educ_occupation
5010,1995,653.8217163085938,769.119140625,772.6463623046875
2017,1995,719.230224609375,754.2238159179688,933.943359375
3019,1995,725.7485961914063,825.1947631835938,806.8115844726563
862,1995,738.2952270507813,758.8533325195313,894.2819213867188
5012,1995,751.7081298828125,823.61767578125,843.2761840820313
5113,1995,767.8104858398438,860.9019165039063,800.6019897460938
2879,1995,769.7784423828125,806.42919921875,835.52294921875
4303,1995,780.1511840820313,854.9232788085938,841.7411499023438
2294,1995,793.094970703125,866.2805786132813,864.9703979492188
4876,1995,794.3416748046875,760.1815795898438,908.4701538085938
2163,1995,794.77490234375,855.095947265625,878.0784301757813
6758,1995,794.9990234375,746.9669799804688,968.302978515625
4613,1995,805.419189453125,835.6690673828125,867.9984130859375
821,1995,805.6245727539063,815.6901245117188,925.6995239257813
822,1995,805.6245727539063,815.6901245117188,925.6995239257813
5017,1995,808.3524169921875,862.9223022460938,848.9903564453125
5084,1995,811.4359130859375,854.5565795898438,889.75830078125
4830,1995,816.0942993164063,792.86572265625,921.3876953125
7016,1995,818.5144653320313,895.0642700195313,805.5857543945313
3047,1995,824.6023559570313,915.6301879882813,837.594970703125
2506,1995,827.364990234375,890.96337890625,854.4939575195313
7030,1995,828.4022216796875,887.7953491210938,833.6134643554688
2166,1995,829.2887573242188,909.71044921875,869.654296875
6514,1995,829.593994140625,901.1439819335938,832.3759765625
5013,1995,831.6533203125,899.6646728515625,863.467529296875
2409,1995,833.1004638671875,879.818359375,866.970458984375
872,1995,833.9523315429688,801.8801879882813,933.5657348632813
5112,1995,838.0466918945313,902.0134887695313,863.7516479492188
5164,1995,838.181640625,886.0137329101563,843.8129272460938
4114,1995,840.626220703125,898.6561889648438,847.4719848632813
4677,1995,843.0516967773438,864.9390869140625,840.9862670898438
3214,1995,846.0712280273438,914.8764038085938,841.5228271484375
2502,1995,846.5448608398438,922.6278686523438,860.51806640625
2770,1995,854.37939453125,920.1826171875,880.3079833984375
2469,1995,854.39306640625,864.7063598632813,871.0499267578125
2564,1995,856.0462646484375,912.0172729492188,896.5962524414063
2415,1995,856.8280029296875,848.072021484375,813.8200073242188
4659,1995,857.3882446289063,885.3782958984375,853.04931640625
2395,1995,857.6455078125,855.94189453125,856.954833984375
2505,1995,858.1016235351563,920.81396484375,881.769287109375
4605,1995,858.6636962890625,889.1004638671875,871.3090209960938
4804,1995,859.1640625,900.0028076171875,837.6016235351563
3177,1995,860.5755004882813,923.3566284179688,849.9906616210938
3031,1995,861.558349609375,870.5228271484375,1012.948059082031
2341,1995,862.595703125,901.7484130859375,851.390380859375
6061,1995,862.8778076171875,915.7686157226563,876.7786865234375
7117,1995,864.6690063476563,966.6439819335938,828.8920288085938
5168,1995,864.9723510742188,899.917236328125,872.4830932617188
2297,1995,865.6368408203125,897.7979125976563,916.8110961914063
2293,1995,868.0387573242188,887.3764038085938,930.3154296875
7253,1995,868.3474731445313,907.5104370117188,852.1527709960938
3171,1995,869.0050048828125,935.3578491210938,873.1614379882813
3081,1995,869.1138305664063,891.3359985351563,929.588623046875
5115,1995,869.488037109375,932.6491088867188,848.8656616210938
2832,1995,869.9583129882813,854.958740234375,945.7093505859375
3940,1995,870.6170654296875,893.0808715820313,876.8658447265625
4890,1995,874.6742553710938,862.7530517578125,908.9432983398438
2381,1995,875.272216796875,952.227783203125,837.16259765625
5015,1995,878.5994262695313,910.8418579101563,910.78515625
4580,1995,878.7645263671875,899.6959228515625,885.087890625
7248,1995,878.7817993164063,894.9751586914063,901.65087890625
3020,1995,879.02978515625,945.2842407226563,881.7164916992188
4077,1995,880.198486328125,931.8478393554688,904.2655639648438
6106,1995,880.8900146484375,860.343994140625,924.6309814453125
5085,1995,881.44140625,902.2032470703125,920.7770385742188
4829,1995,881.6188354492188,935.678955078125,871.5474243164063
3011,1995,882.6448364257813,892.6353759765625,970.341064453125
5260,1995,882.7371826171875,912.7516479492188,846.2825317382813
4816,1995,886.1588134765625,924.1189575195313,883.3350830078125
5253,1995,886.83251953125,917.94873046875,876.9832763671875
4388,1995,887.2518310546875,897.9178466796875,852.0543212890625
6165,1995,887.6084594726563,972.9303588867188,857.8555908203125
6167,1995,887.6084594726563,972.9303588867188,857.8555908203125
3025,1995,887.843994140625,958.7269287109375,884.345703125
3447,1995,888.4660034179688,952.905029296875,955.0440063476563
3012,1995,888.4884033203125,924.1875,928.3600463867188
5540,1995,888.679931640625,915.0946655273438,892.9192504882813
4110,1995,888.90380859375,938.0189208984375,876.6483764648438
2304,1995,890.471923828125,908.5859375,916.6181640625
2168,1995,890.6270751953125,967.0921020507813,902.7719116210938
6102,1995,892.1534423828125,871.302978515625,968.596435546875
7179,1995,892.7802124023438,913.04345703125,919.7490234375
2485,1995,892.8424072265625,924.31298828125,911.2745971679688
4490,1995,893.4295654296875,877.7449340820313,922.6478271484375
5108,1995,893.4660034179688,949.3574829101563,870.606689453125
3200,1995,895.3204345703125,949.0106811523438,874.3575439453125
3022,1995,895.9524536132813,985.6849365234375,870.864501953125
860,1995,896.7560424804688,890.6178588867188,962.0532836914063
861,1995,896.7560424804688,890.6178588867188,962.0532836914063
3060,1995,897.1663818359375,961.4560546875,893.4625244140625
7027,1995,897.6510009765625,871.7919921875,903.072998046875
3048,1995,897.8519897460938,964.615234375,868.3529052734375
4076,1995,898.0643310546875,965.090576171875,892.9142456054688
7211,1995,898.5549926757813,876.52197265625,901.39501953125
5107,1995,898.5635375976563,946.8549194335938,878.0595703125
2016,1995,898.7875366210938,900.6504516601563,1046.266967773438
2528,1995,899.1795043945313,955.9219360351563,890.626708984375
3061,1995,899.9794921875,966.6170043945313,876.7099609375
2165,1995,900.1348266601563,945.3544311523438,903.5112915039063
5165,1995,900.5966186523438,947.332275390625,893.5619506835938
7116,1995,902.531005859375,946.0506591796875,877.25634765625
5558,1995,902.825927734375,929.1968994140625,905.2257690429688
